[2021-08-16 12:07 AM]	::1	"localhost	GET	/assets/"	 application started
[2021-08-16 12:07 AM]	::1	"localhost	GET	/assets/css/resources.css"	 application started
[2021-08-16 12:07 AM]	::1	"localhost	GET	/assets/css/mishusoft-theme.css"	 application started
[2021-08-16 12:07 AM]	::1	"localhost	GET	/assets/css/framework.css"	 application started
[2021-08-16 12:07 AM]	::1	"localhost	GET	/assets/js/readystate.js"	 application started
[2021-08-16 12:07 AM]	::1	"localhost	GET	/media/logos/mishusoft-logo-lite.webp"	 application started
[2021-08-16 12:07 AM]	::1	"localhost	GET	/assets/js/Assets_typescripts_db_app_ts.runtime.bundle.js"	 application started
[2021-08-16 12:07 AM]	::1	"localhost	GET	/media/logos/default/android-icon-192x192.png"	 application started
[2021-08-16 12:07 AM]	::1	"localhost	GET	/media/logos/default/favicon.ico"	 application started
[2021-08-16 12:07 AM]	::1	"localhost	GET	/assets/css/mishusoft-theme.css.map"	 application started
[2021-08-16 12:07 AM]	::1	"localhost	GET	/assets/css/framework.css.map"	 application started
[2021-08-16 12:07 AM]	::1	"localhost	GET	/assets/js/Assets_typescripts_worker-response_ts.runtime.bundle.js"	 application started
[2021-08-16 12:07 AM]	::1	"localhost	GET	/assets/js/Assets_typescripts_common_dom_ts.runtime.bundle.js"	 application started
[2021-08-16 12:07 AM]	::1	"localhost	GET	/assets/js/sw.js"	 application started
[2021-08-16 12:07 AM]	::1	"localhost	GET	/assets/js/sw.js"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/css/framework.css"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/js/readystate.js"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/js/framework.js"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/js/Assets_typescripts_db_app_ts.runtime.bundle.js"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/js/Assets_typescripts_db_runtime_ts.runtime.bundle.js"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/media/logos/default/android-icon-192x192.png"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/media/logos/default/favicon.ico"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/js/Assets_typescripts_worker-response_ts.runtime.bundle.js"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/js/Assets_typescripts_common_dom_ts.runtime.bundle.js"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/js/sw.js"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/js/Assets_typescripts_mishusoft_UserAuth_ts.runtime.bundle.js"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/js/sw.js"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/css/framework.css.map"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/mishusoft-theme.css.map"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/css/framework.css"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/js/readystate.js"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/js/framework.js"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/js/Assets_typescripts_db_app_ts.runtime.bundle.js"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/js/Assets_typescripts_db_runtime_ts.runtime.bundle.js"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/js/Assets_typescripts_worker-response_ts.runtime.bundle.js"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/js/Assets_typescripts_common_dom_ts.runtime.bundle.js"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/js/sw.js"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/mishusoft-theme.css.map"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/assets/css/framework.css.map"	 application started
[2021-08-16 12:08 AM]	::1	"localhost	GET	/media/logos/default/android-icon-192x192.png"	 application started
