"Date", "Client", "User-Agent"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) 1Password/4.2.2 (like Version/10B329 Mobile/6.1.3 Safari/8536.25)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) 1Password/4.2.2 (like Version/10B329 Mobile/6.1.3 Safari/8536.25)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 11_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.0.6 (like Version/11.3 Mobile/15E216 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 11_2_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/6.9.1 (like Version/11.2.1 Mobile/15C153 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 11_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.1.1 (like Version/11.4 Mobile/15F79 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 11_2_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.0.5 (like Version/11.2.1 Mobile/15C153 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) 1Password/3.7.2/370204 (like Mobile/8C148 Safari/6533.18.5)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 11_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.1.1 (like Version/11.4 Mobile/15F79 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 11_2_5 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.0.6 (like Version/11.2.5 Mobile/15D60 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 11_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.0.3 (like Version/11.1.2 Mobile/15B202 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 11_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.0.6 (like Version/11.4 Mobile/15F79 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 11_2_6 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.0.6 (like Version/11.2.6 Mobile/15D100 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) 1Password/3.7.2/370204 (like Mobile/8C148 Safari/6533.18.5)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 11_1_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.0.4 (like Version/11.1.1 Mobile/15B150 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 11_2_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.0.5 (like Version/11.2.2 Mobile/15C202 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 11_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.0.2 (like Version/11.1.2 Mobile/15B202 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 11_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.1.1 (like Version/11.4.1 Mobile/15G77 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 11_2_5 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.0.5 (like Version/11.2.5 Mobile/15D60 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 11_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.1 (like Version/11.4 Mobile/15F79 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 11_1_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/6.9.1 (like Version/11.1.1 Mobile/15B150 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 11_2_6 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.0.6 (like Version/11.2.6 Mobile/15D100 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 11_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.1.1 (like Version/11.4.1 Mobile/15G77 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 11_0_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/6.9.1 (like Version/11.0.3 Mobile/15A432 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 11_2_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.0.5 (like Version/11.2.2 Mobile/15C202 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 11_2_5 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.0.5 (like Version/11.2.5 Mobile/15D60 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 11_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.1 (like Version/11.4 Mobile/15F79 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 11_0_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/6.9.1 (like Version/11.0.3 Mobile/15A432 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 11_2_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.0.4 (like Version/11.2.1 Mobile/15C153 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 11_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.0.3 (like Version/11.1.2 Mobile/15B202 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 7.0.4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) 1Password/4.3.2 (like Version/11B554a Mobile/7.0.4 Safari/8536.25)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 7.0.4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) 1Password/4.3.2 (like Version/11B554a Mobile/7.0.4 Safari/8536.25)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 7.1.2 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) 1Password/4.5.3 (like Version/11D257 Mobile/7.1.2 Safari/8536.25)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 13_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.4.4 (like Version/13.3 Mobile/17C54 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 14_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.7 (like Version/14.1 Mobile/18A8395 Safari/600.1.4)"
